,glob,lat_n60,lat_3060n,lat_90s30n
2000,32.869438444555016,6.469658559119221,7.439415274531701,18.960364610904094
2001,32.31370245563412,6.01524893535851,7.782762582638649,18.51569093763697
2002,32.013467103145985,6.132221087027168,7.3604304003964325,18.520815615722384
2003,32.28776217995684,6.095546454051388,7.896441525896089,18.295774200009376
2004,30.641400928475313,5.65413383065276,7.446639431105533,17.54062766671703
2005,32.01248575451391,6.348083134608821,8.430004629241036,17.234397990664064
2006,31.227603048085147,5.896330791609098,7.4465149819694485,17.884757274506594
2007,32.67221631027653,6.768012248860756,7.932220755596991,17.97198330581878
2008,32.9464592494295,6.94648403337484,7.715323990881248,18.284651225173413
2009,33.28334182599287,6.889104590469709,8.236779863847001,18.157457371676156
2010,32.81662941948424,6.006872184439131,8.649663313782202,18.1600939212629
2011,33.01782473608428,6.272959579137857,8.163471958017547,18.58139319892888
2012,32.24965127196186,6.345242387569302,7.807421439895458,18.096987444497092
2013,32.85897472379587,6.491368572263184,8.599320008280639,17.76828614325205
2014,33.349332251596735,6.966612803613281,8.343744113881122,18.038975334102336
2015,32.33592844125296,6.7321527605101545,8.0697897096445,17.533985971098307
2016,32.70038514854752,6.999376479624448,8.449037439411857,17.251971229511216
